OpenTime,Open,High,Low,Close,Volume
2025-10-03 01:10:00,120221.9,120293.68,120166.95,120208.74,0.83013
2025-10-03 01:15:00,120208.74,120283.91,120063.24,120140.44,0.4032
2025-10-03 01:20:00,120140.43,120175.62,120005.55,120058.48,0.85654
2025-10-03 01:25:00,120022.86,120150.05,120022.86,120150.05,0.44074
2025-10-03 01:30:00,120129.51,120163.5,120071.01,120159.77,1.4668
2025-10-03 01:35:00,120159.78,120159.78,120030.95,120083.56,0.27182
2025-10-03 01:40:00,120083.55,120124.05,120080.25,120100.1,0.3717
2025-10-03 01:45:00,120100.09,120100.1,120021.49,120021.5,0.24862
2025-10-03 01:50:00,120021.49,120040.01,119840.03,119895.99,0.82138
2025-10-03 01:55:00,119896.0,119952.28,119839.41,119890.0,0.2254
2025-10-03 02:00:00,119890.0,119980.78,119866.18,119980.78,1.81888
2025-10-03 02:05:00,119987.99,120012.22,119958.3,119993.03,0.87168
2025-10-03 02:10:00,119993.04,120120.0,119993.03,120092.0,1.25689
2025-10-03 02:15:00,120091.99,120170.0,120091.99,120121.28,1.82735
2025-10-03 02:20:00,120121.28,120121.29,119988.62,120040.18,1.2988
2025-10-03 02:25:00,120040.17,120040.18,119974.89,119985.8,0.86626
2025-10-03 02:30:00,119985.79,120000.0,119966.08,119986.45,0.92478
2025-10-03 02:35:00,119986.45,120083.71,119934.34,120083.71,0.48798
2025-10-03 02:40:00,120057.88,120100.0,120036.54,120076.5,0.33963
2025-10-03 02:45:00,120076.49,120105.05,120038.07,120081.0,1.32548
2025-10-03 02:50:00,120081.0,120117.8,120053.71,120095.29,0.91854
2025-10-03 02:55:00,120095.29,120269.11,120095.29,120157.82,1.07721
2025-10-03 03:00:00,120157.82,120374.72,120157.82,120374.71,0.5292
2025-10-03 03:05:00,120374.71,120472.12,120363.2,120374.71,1.23825
2025-10-03 03:10:00,120374.72,120374.72,120289.45,120289.45,1.94528
2025-10-03 03:15:00,120289.45,120346.18,120266.78,120300.58,0.53419
2025-10-03 03:20:00,120300.58,120407.3,120300.57,120324.42,0.62128
2025-10-03 03:25:00,120324.42,120324.43,120184.53,120184.53,0.34568
2025-10-03 03:30:00,120184.54,120236.87,120173.77,120236.87,0.63483
2025-10-03 03:35:00,120236.87,120407.54,120236.87,120385.34,1.49554
2025-10-03 03:40:00,120385.34,120385.34,120328.18,120343.41,0.5907
2025-10-03 03:45:00,120343.41,120343.42,120319.55,120319.56,0.104
2025-10-03 03:50:00,120319.55,120319.56,120261.17,120305.39,0.60546
2025-10-03 03:55:00,120312.58,120312.58,120206.95,120225.88,0.78768
