OpenTime,Open,High,Low,Close,Volume
1759453800000,120221.9,120293.68,120166.95,120208.74,0.83013
1759454100000,120208.74,120283.91,120063.24,120140.44,0.4032
1759454400000,120140.43,120175.62,120005.55,120058.48,0.85654
1759454700000,120022.86,120150.05,120022.86,120150.05,0.44074
1759455000000,120129.51,120163.5,120071.01,120159.77,1.4668
1759455300000,120159.78,120159.78,120030.95,120083.56,0.27182
1759455600000,120083.55,120124.05,120080.25,120100.1,0.3717
1759455900000,120100.09,120100.1,120021.49,120021.5,0.24862
1759456200000,120021.49,120040.01,119840.03,119895.99,0.82138
1759456500000,119896.0,119952.28,119839.41,119890.0,0.2254
1759456800000,119890.0,119980.78,119866.18,119980.78,1.81888
1759457100000,119987.99,120012.22,119958.3,119993.03,0.87168
1759457400000,119993.04,120120.0,119993.03,120092.0,1.25689
1759457700000,120091.99,120170.0,120091.99,120121.28,1.82735
1759458000000,120121.28,120121.29,119988.62,120040.18,1.2988
1759458300000,120040.17,120040.18,119974.89,119985.8,0.86626
1759458600000,119985.79,120000.0,119966.08,119986.45,0.92478
1759458900000,119986.45,120083.71,119934.34,120083.71,0.48798
1759459200000,120057.88,120100.0,120036.54,120076.5,0.33963
1759459500000,120076.49,120105.05,120038.07,120081.0,1.32548
1759459800000,120081.0,120117.8,120053.71,120095.29,0.91854
1759460100000,120095.29,120269.11,120095.29,120157.82,1.07721
1759460400000,120157.82,120374.72,120157.82,120374.71,0.5292
1759460700000,120374.71,120472.12,120363.2,120374.71,1.23825
1759461000000,120374.72,120374.72,120289.45,120289.45,1.94528
1759461300000,120289.45,120346.18,120266.78,120300.58,0.53419
1759461600000,120300.58,120407.3,120300.57,120324.42,0.62128
1759461900000,120324.42,120324.43,120184.53,120184.53,0.34568
1759462200000,120184.54,120236.87,120173.77,120236.87,0.63483
1759462500000,120236.87,120407.54,120236.87,120385.34,1.49554
1759462800000,120385.34,120385.34,120328.18,120343.41,0.5907
1759463100000,120343.41,120343.42,120319.55,120319.56,0.104
1759463400000,120319.55,120319.56,120261.17,120305.39,0.60546
1759463700000,120312.58,120312.58,120206.95,120225.88,0.78768
1759464000000,120225.88,120248.99,120182.95,120226.94,0.75868
1759464300000,120226.94,120306.5,120202.28,120228.28,0.41035
1759464600000,120228.28,120262.78,120222.65,120259.99,0.26968
1759464900000,120260.0,120300.0,120241.39,120241.39,0.68971
1759465200000,120241.4,120286.23,120212.01,120240.0,0.31143
1759465500000,120239.99,120246.36,120174.29,120200.0,0.68624
1759465800000,120200.0,120200.01,120099.13,120121.12,0.50315
1759466100000,120121.12,120121.12,120020.0,120020.0,0.30938
1759466400000,120017.99,120039.82,120000.4,120027.23,0.25749
1759466700000,120027.24,120165.0,120027.24,120163.5,1.44953
1759467000000,120155.63,120155.63,120079.61,120079.61,0.20711
1759467300000,120079.62,120079.62,120038.14,120039.98,0.85315
1759467600000,120039.97,120065.41,119950.0,119950.0,0.96351
1759467900000,119946.65,120007.0,119946.64,119957.0,0.48351
1759468200000,119957.01,120022.0,119950.87,120022.0,0.16048
1759468500000,120021.99,120049.63,119972.67,120024.23,0.28713
1759468800000,120024.23,120033.0,120000.9,120022.3,0.24775
1759469100000,120022.3,120034.84,119991.37,120019.24,0.61985
1759469400000,120007.55,120019.2,119968.5,119987.53,0.32119
1759469700000,119987.54,119987.54,119900.0,119909.17,1.23048
1759470000000,119907.78,119907.78,119839.94,119849.71,0.53423
1759470300000,119849.72,119849.72,119818.64,119828.85,0.49426
1759470600000,119823.73,119894.0,119760.39,119894.0,10.51011
1759470900000,119893.99,119935.1,119893.99,119920.4,2.11121
1759471200000,119920.41,119920.41,119786.62,119909.23,0.83753
1759471500000,119909.22,119951.54,119908.98,119920.41,0.51309
1759471800000,119920.42,120075.62,119920.41,120045.13,0.26244
1759472100000,120045.13,120055.91,120000.62,120011.47,0.20943
1759472400000,120011.48,120035.32,119970.81,119970.81,0.26894
1759472700000,119970.81,119992.46,119970.81,119979.8,0.12737
1759473000000,119979.8,120020.95,119968.07,119968.07,0.97446
1759473300000,119968.08,119997.0,119968.05,119986.93,0.34444
1759473600000,119986.92,119986.93,119915.77,119927.34,0.09279
1759473900000,119927.34,119927.35,119741.48,119902.99,0.61058
1759474200000,119902.98,119902.99,119765.99,119847.09,1.48494
1759474500000,119846.68,119916.94,119832.85,119916.94,0.22795
1759474800000,119916.93,120011.05,119914.06,119914.07,0.67941
1759475100000,119917.77,119917.77,119800.0,119800.01,1.29968
1759475400000,119819.99,119888.28,119819.98,119872.37,1.13158
1759475700000,119872.36,119891.65,119855.01,119855.01,2.06447
1759476000000,119855.0,119862.17,119804.7,119821.28,1.46527
1759476300000,119821.28,119846.71,119794.75,119794.75,0.21869
1759476600000,119794.75,119817.94,119766.65,119772.54,0.67644
1759476900000,119774.41,119774.41,119655.22,119655.22,0.3107
1759477200000,119658.85,119720.0,119628.48,119641.31,2.0911
1759477500000,119641.3,119740.0,119641.3,119739.7,1.09476
1759477800000,119739.69,119741.19,119643.94,119643.94,1.11002
1759478100000,119635.71,119685.65,119630.41,119643.94,1.0218
1759478400000,119641.01,119732.07,119641.0,119690.34,0.36608
1759478700000,119707.84,119720.0,119599.99,119600.47,0.31318
1759479000000,119600.46,119600.47,119498.74,119498.74,0.22085
1759479300000,119498.75,119498.75,119249.99,119294.02,1.13489
1759479600000,119329.4,119535.06,119329.39,119512.0,1.18745
1759479900000,119512.0,119648.17,119512.0,119647.05,0.92953
1759480200000,119647.06,120412.37,119647.06,119776.12,1.53711
1759480500000,119776.12,119910.14,119776.12,119861.0,0.7112
1759480800000,119847.42,119904.98,119811.76,119862.18,3.281
1759481100000,119859.17,119900.0,119859.1,119862.37,0.53169
1759481400000,119863.27,119941.4,119843.55,119932.85,0.90057
1759481700000,119930.5,120040.67,119927.07,120040.66,0.31451
1759482000000,120038.61,120138.5,120038.6,120078.49,0.58994
1759482300000,120078.48,120199.9,120054.48,120142.87,1.77835
1759482600000,120131.43,120131.43,120051.0,120069.43,1.37259
1759482900000,120069.43,120069.43,120008.6,120011.76,0.13565
1759483200000,120010.97,120310.96,120010.96,120287.95,0.78895
1759483500000,120287.95,120356.13,120271.54,120291.27,0.43388
1759483800000,120291.26,120325.64,120183.75,120195.77,1.20435
1759484100000,120200.0,120200.0,120163.47,120180.68,0.0464
1759484400000,120180.69,120226.33,120173.0,120192.87,0.20648
1759484700000,120192.88,120284.68,119967.87,120284.68,0.70336
1759485000000,120287.68,120313.88,120270.0,120313.87,0.5372
1759485300000,120313.88,120331.72,120300.0,120300.01,0.27088
1759485600000,120300.01,120317.19,120271.18,120293.25,0.52116
1759485900000,120293.25,120361.65,120293.25,120326.99,0.61662
1759486200000,120327.0,120338.44,120324.33,120338.44,0.21046
1759486500000,120338.44,120473.12,120338.43,120473.12,0.50373
1759486800000,120478.01,120478.01,120341.1,120397.01,0.29736
1759487100000,120389.52,120515.89,120379.41,120468.26,2.59183
1759487400000,120468.27,120468.27,120375.73,120375.73,1.96426
1759487700000,120375.73,120393.85,120350.84,120393.84,0.69666
1759488000000,120393.84,120588.57,120393.84,120505.15,0.56927
1759488300000,120505.14,120505.15,120412.68,120412.68,0.50164
1759488600000,120412.69,120476.55,120412.68,120476.54,0.28843
1759488900000,120476.55,120497.62,120425.95,120425.95,0.05116
1759489200000,120425.96,120463.76,120420.0,120443.56,0.29414
1759489500000,120443.57,120443.57,120343.81,120374.55,0.68415
1759489800000,120374.56,120374.56,120282.65,120289.01,0.30921
1759490100000,120289.0,120289.01,120130.76,120130.77,0.79776
1759490400000,120165.83,120336.94,120165.82,120336.93,1.50896
1759490700000,120328.99,120362.57,120270.0,120270.0,1.38942
1759491000000,120270.01,120298.88,120204.0,120216.6,1.50294
1759491300000,120217.66,120297.78,120190.42,120273.12,0.5318
1759491600000,120273.12,120464.08,120273.11,120349.6,0.6602
1759491900000,120349.61,120349.99,120327.77,120349.99,0.21896
1759492200000,120349.99,120448.62,120349.99,120405.21,0.71114
1759492500000,120405.22,120405.22,120334.5,120334.5,1.83338
1759492800000,120334.5,120387.01,120334.5,120371.43,0.73607
1759493100000,120369.92,120370.78,120269.1,120269.1,0.76403
1759493400000,120292.03,120383.22,120292.03,120366.11,0.99697
1759493700000,120366.12,120399.83,120293.49,120293.49,0.80688
1759494000000,120293.49,120299.0,120246.98,120298.99,1.39838
1759494300000,120298.98,120319.02,120219.67,120219.67,1.32497
1759494600000,120219.68,120300.76,120120.01,120120.01,1.75068
1759494900000,120120.01,120232.68,120114.2,120232.68,0.22402
1759495200000,120239.0,120287.19,120224.51,120287.19,0.36109
1759495500000,120259.06,120351.43,120250.5,120251.74,2.04994
1759495800000,120261.01,120365.0,120253.27,120361.51,0.23729
1759496100000,120361.51,120384.65,120340.98,120358.08,0.33203
1759496400000,120358.08,120358.08,120201.64,120203.85,2.30935
1759496700000,120203.84,120259.33,120053.17,120245.31,1.65715
1759497000000,120245.31,120286.1,120242.57,120286.09,0.36226
1759497300000,120286.09,120374.72,120225.2,120321.81,0.7804
1759497600000,120321.82,120465.64,120321.81,120427.01,0.95775
1759497900000,120427.0,120545.0,120427.0,120529.7,0.94027
1759498200000,120529.69,120599.0,120315.05,120454.93,3.6653
1759498500000,120454.93,120614.66,120247.99,120426.99,2.03874
1759498800000,120437.18,120454.45,120112.81,120288.32,1.79005
1759499100000,120289.78,120473.14,120289.78,120473.14,2.05678
1759499400000,120473.14,120547.0,120374.71,120396.0,0.8887
1759499700000,120403.55,120517.84,120374.71,120387.9,1.57956
1759500000000,120374.73,120618.04,120149.09,120382.43,1.75924
1759500300000,120393.99,120394.58,120195.41,120208.39,2.6562
1759500600000,120228.83,120344.6,120138.58,120138.59,0.70715
1759500900000,120146.55,120146.56,119924.0,119983.2,3.39903
1759501200000,119983.21,120293.02,119919.0,120241.25,2.17833
1759501500000,120270.17,120462.87,120270.17,120448.89,1.10771
1759501800000,120448.88,120480.32,120343.67,120389.99,1.10385
1759502100000,120390.0,120680.35,120390.0,120670.01,1.82
